Código;Nombre comercial;Razón social;Dirección;Población;CP;Horario;Confianza;Fuente asociada;Tipo fuente;Fecha comprobación;Nota horario;Estado;Jornada;Orden;Día previsto;Hora prevista;Estado previsto
1478;GRUPO SYRSA AUTOMOVILES SL;GRUPO SYRSA AUTOMOVILES SL;Autopista de San Pablo, s/n, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;10;Miércoles;12:57;Abierto · cierra 18:00
1477;TARSIS PROTECCION 360 SL;TARSIS PROTECCION 360 SL;Calle AUTO DE SAN PABLO, S/N - EDIFICIO SYRSA, 41001, Sevilla, Sevilla, España;Sevilla;41001;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
1476;SERVICIOS Y REPARACIONES SA;SERVICIOS Y REPARACIONES SA;Autopista de San Pablo, s/n, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;8;9;Miércoles;12:28;Abierto · cierra 18:00
1475;G MAS C HISPALENSE SL;G MAS C HISPALENSE SL;Calle AUTOPISTA DE SAN PABLO, S/N, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;SYRSA San Pablo · taller/posventa;official-web;2026-09-21;Horario del centro SYRSA, no necesariamente de cada sociedad administrativa.;associated;;;;;
1474;AUTONOVO ANDALUCIA 2000 SL;AUTONOVO ANDALUCIA 2000 SL;Avenida KANSAS CITY S/N - ESQUINA CON CARRETERA DE CA, 41007, Sevilla, Sevilla, España;Sevilla;41007;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
1473;SERVICIOS DE AUTOMOCION CATSA SA;SERVICIOS DE AUTOMOCION CATSA SA;Avenida KANSAS CITY S/N - ESQUINA CON CARRETERA CARMO, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;Servicios de Automoción CATSA / Grupo SYRSA;group-hours;2026-09-21;"Horario general de posventa/grupo; confirmar departamento.";associated;;;;;
1472;MOTOS CARICIOLO;FRANCISCO JAVIER CARICIOLO BRENES;Calle ESPARTEROS, 43 NAVE 8, 41600, Arahal, Sevilla, España;Arahal;41600;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado Cerrado | Domingo Cerrado;high;Motos Cariciolo Racing;google-business;2026-09-21;;verified;12;12;Martes;17:00;Apertura 17:00 · cierra 20:00
1469;ALEJANDRO OSUNA HERRERA;ALEJANDRO OSUNA HERRERA;Calle BODEGAS 1 1A, 41400, Ecija, Sevilla, España;Ecija;41400;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;19;4;Jueves;11:44;Horario no verificado · confirmar antes
1407;VIKINGS MOBILITY SL;VIKINGS MOBILITY SL;Avenida HYTASA Nº133 LOCAL A, 41006, Sevilla, Sevilla, España;Sevilla;41006;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado Cerrado | Domingo Cerrado;high;Vikings Mobility;official-web;2026-09-21;;verified;10;2;Viernes;09:29;Abierto · cierra 14:00
1390;MANUEL JOSE ARJONA CORTES;MANUEL JOSE ARJONA CORTES;Calle MARIA AUXILIADORA 37, 41003, Sevilla, Sevilla, España;Sevilla;41003;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;11;9;Lunes;12:31;Horario no verificado · confirmar antes
1354;ALEXANDER JOSE GUERRERO SANTELIZ;ALEXANDER JOSE GUERRERO SANTELIZ;Avenida MELENDEZ PELAYO 11, 41003, Sevilla, Sevilla, España;Sevilla;41003;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;11;8;Lunes;12:02;Horario no verificado · confirmar antes
1351;PABLO DEL VALLE BANDA;PABLO DEL VALLE BANDA;Avenida JOSELITO EL GALLO, 16, 41701, Dos Hermanas, Sevilla, España;Dos Hermanas;41701;Lunes 10:30-14:30 / 18:00-21:00 | Martes 10:30-14:30 / 18:00-21:00 | Miércoles 10:30-14:30 / 18:00-21:00 | Jueves 10:30-14:30 / 18:00-21:00 | Viernes 10:30-14:30 / 18:00-21:00 | Sábado 11:00-14:00 | Domingo Cerrado;high;Tecnología del Valle;google-business;2026-09-21;;verified;1;14;Lunes;13:54;Abierto · cierra 14:30
1350;FRANCISCO JAVIER RAMIREZ MARIN;FRANCISCO JAVIER RAMIREZ MARIN;Calle RESOLANA, 43 LOCAL PLANET MOBILITY, 41002, Sevilla, Sevilla, España;Sevilla;41002;Lunes 10:00-13:30 / 17:30-20:30 | Martes 10:00-13:30 / 17:30-20:30 | Miércoles 10:00-13:30 / 17:30-20:30 | Jueves 10:00-13:30 / 17:30-20:30 | Viernes 10:00-13:30 / 17:30-20:30 | Sábado Cerrado | Domingo Cerrado;medium;E-Planet Mobility;official-web;2026-09-21;"La web etiqueta este horario como de verano; confirmar si cambia en otoño.";associated;9;7;Jueves;11:31;Abierto · cierra 13:30
1299;DAVID CARO CONDE;DAVID CARO CONDE;Calle GUADALQUIVIR, 1 3ºB, 41620, Marchena, Sevilla, España;Marchena;41620;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;19;3;Jueves;10:54;Horario no verificado · confirmar antes
1295;MOVYSCOOTER SOCIEDAD LIMITADA;MOVYSCOOTER SOCIEDAD LIMITADA;Calle COLON 25 0 2, 41960, Gines, Sevilla, España;Gines;41960;Lunes 10:30-14:00 / 17:30-20:30 | Martes 10:30-14:00 / 17:30-20:30 | Miércoles 10:30-14:00 / 17:30-20:30 | Jueves 10:30-14:00 / 17:30-20:30 | Viernes 10:30-14:00 / 17:30-20:30 | Sábado Cerrado | Domingo Cerrado;medium;Scootopia;google-business;2026-09-21;La ficha figura como Movyscooter/Scootopia y C. Colón 25.;associated;11;10;Lunes;13:08;Abierto · cierra 14:00
1291;4VIDAS 2019 SOCIEDAD LIMITADA;4VIDAS 2019 SOCIEDAD LIMITADA;Calle RESOLANA, 28, 41009, Sevilla, Sevilla, España;Sevilla;41009;Lunes 10:00-20:00 | Martes 10:00-20:00 | Miércoles 10:00-20:00 | Jueves 10:00-20:00 | Viernes 10:00-20:00 | Sábado Cerrado | Domingo Cerrado;medium;Moviraider Central / 4Vidas;google-business;2026-09-21;"Horario público del negocio asociado; confirmar si la ficha corresponde exactamente al mismo punto.";associated;7;13;Martes;14:03;Abierto · cierra 20:00
1280;ANTONIO GUERRERO VELASCO;ANTONIO GUERRERO VELASCO;Calle PAGES DEL CORRO, 151, 41010, Sevilla, Sevilla, España;Sevilla;41010;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;13;4;Miércoles;11:39;Horario no verificado · confirmar antes
1267;TALLERES MONTILLA AUTOMOCION SL;TALLERES MONTILLA AUTOMOCION SL;CTRA.LA ISLA, 21 BDA. FUENTE DEL REY, 41703, Dos Hermanas, Sevilla, España;Dos Hermanas;41703;Lunes 08:00-14:00 / 15:00-18:00 | Martes 08:00-14:00 / 15:00-18:00 | Miércoles 08:00-14:00 / 15:00-18:00 | Jueves 08:00-14:00 / 15:00-18:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Talleres Montilla;google-business;2026-09-21;;verified;3;4;Miércoles;09:10;Abierto · cierra 14:00
1257;DOS HERMANAS PORTAL DE TU CIUDAD;DOMANT SOLUTIONS SOCIEDAD LIMITADA;Calle FERNANDO DE MAGALLANES, 92, 41089, Dos Hermanas, Sevilla, España;Dos Hermanas;41089;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;13;1;Miércoles;10:00;Horario no verificado · confirmar antes
1250;TALLERES JARDINAUTO;MANUEL GARCIA FERNANDEZ;Calle ALFONSO XI, 60, 41005, Sevilla, Sevilla, España;Sevilla;41005;Lunes 08:00-14:00 / 16:00-19:30 | Martes 08:00-14:00 / 16:00-19:30 | Miércoles 08:00-14:00 / 16:00-19:30 | Jueves 08:00-14:00 / 16:00-19:30 | Viernes 08:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;Taller mecánico Jardinauto;google-maps;2026-09-21;;verified;6;1;Lunes;08:00;Apertura 08:00 · cierra 14:00
1249;CRESPO CAMINO EXPLOTACIONES AGRICOLAS SA;CRESPO CAMINO EXPLOTACIONES AGRICOLAS SA;Calle PROGRESO, 20 1, 41013, Sevilla, Sevilla, España;Sevilla;41013;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;13;3;Miércoles;11:02;Horario no verificado · confirmar antes
1248;ENRIQUE CASCAJOSA E HIJOS SLU;ENRIQUE CASCAJOSA E HIJOS SLU;POLIGONO HACIENDA DOLORES DOS, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;14;3;Jueves;10:58;Horario no verificado · confirmar antes
1247;INETEL 21 SL;INETEL 21 SL;Calle GARROCHISTAS DE BAILEN, 20, 41710, Utrera, Sevilla, España;Utrera;41710;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;15;2;Viernes;10:29;Horario no verificado · confirmar antes
1246;REGOLAS Y TALADROS DEL SUR SL;REGOLAS Y TALADROS DEL SUR SL;Calle Álamo Gris, 20, 41703, Dos Hermanas, Sevilla, España;Dos Hermanas;41703;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;Retasur;google-business;2026-09-21;;verified;3;3;Miércoles;08:41;Abierto · cierra 18:00
1242;NITA SL;NITA SL;CRTA. SU EMINENCIA, 26, 41013, Sevilla, Sevilla, España;Sevilla;41013;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;13;2;Miércoles;10:33;Horario no verificado · confirmar antes
1241;RAUL OLIVA MORENO;RAUL OLIVA MORENO;SAN HERMENEGILDO, 5, 41701, Dos Hermanas, Sevilla, España;Dos Hermanas;41701;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;2;7;Martes;10:58;Horario no verificado · confirmar antes
1235;TALLERES ALBA SL;TALLERES ALBA SL;Calle EXPOSICION, 12 P.I.PISA, 41927, Mairena Del Aljarafe, Sevilla, España;Mairena Del Aljarafe;41927;Lunes 08:00-14:00 / 16:00-18:00 | Martes 08:00-14:00 / 16:00-18:00 | Miércoles 08:00-14:00 / 16:00-18:00 | Jueves 08:00-14:00 / 16:00-18:00 | Viernes 08:00-14:00 / 16:00-18:00 | Sábado Cerrado | Domingo Cerrado;high;Talleres Alba / Motralba;google-business;2026-09-21;"Las fichas comparten teléfono/dirección; se aplica el horario del centro publicado.";verified;7;2;Martes;08:29;Abierto · cierra 14:00
1229;PRETOR QUANTUM Sl;PRETOR QUANTUM Sl;Calle GABRIEL LUPIAÑEZ GELY 24, 41120, Gelves, Sevilla, España;Gelves;41120;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;7;8;Martes;11:31;Horario no verificado · confirmar antes
1225;AZUR GLOBAL BUSINESS SL;AZUR GLOBAL BUSINESS SL;Calle TESALONICA, S/N - PARCELA C, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado 09:00-13:00 | Domingo Cerrado;high;Azur Global Business;google-business;2026-09-21;;verified;6;11;Lunes;12:52;Abierto · cierra 14:00
1207;ARPEMAR SDAD. COOP. ANDALUZA;ARPEMAR SDAD. COOP. ANDALUZA;Calle LA LUZ, 1, 41650, El Saucejo, Sevilla, España;El Saucejo;41650;Lunes 09:00-14:00 / 16:30-19:30 | Martes 09:00-14:00 / 16:30-19:30 | Miércoles 09:00-14:00 / 16:30-19:30 | Jueves 09:00-14:00 / 16:30-19:30 | Viernes 09:00-14:00 / 16:30-19:30 | Sábado Cerrado | Domingo Cerrado;medium;Recambios El Saucejo;google-business;2026-09-21;"Fichas ARPEMAR comparten datos; Google muestra C. Alberquilla 10 frente a C. La Luz 1.";associated;18;11;Miércoles;18:56;Abierto · cierra 19:30
1206;GRUPAUTO SEVILLA Sl;GRUPAUTO SEVILLA Sl;Calle CELULOSA, 50 52 - EDIFICIO MGP, NAVE 6 Y 7, POLI, 41016, Sevilla, Sevilla, España;Sevilla;41016;Lunes 07:30-19:30 | Martes 07:30-19:30 | Miércoles 07:30-19:30 | Jueves 07:30-19:30 | Viernes 07:30-19:30 | Sábado Cerrado | Domingo Cerrado;high;GrupAuto Sevilla;google-business;2026-09-21;;verified;;;;;
1194;GIM COR SL;GIM COR SL;Calle Evangelista, 63, 41010, Sevilla, Sevilla, España;Sevilla;41010;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado 09:00-13:00 | Domingo Cerrado;high;Gim Cor;google-maps;2026-09-21;;verified;7;10;Martes;12:35;Abierto · cierra 14:00
1190;TALLERES EBENEZER;JUAN JOSE VICENTE PIZARRO;Avenida FERNANDEZ MURUBE, 44, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:00-17:00 | Martes 08:00-17:00 | Miércoles 08:00-17:00 | Jueves 08:00-17:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Talleres Ebenezer;google-maps;2026-09-21;;verified;6;13;Lunes;13:50;Abierto · cierra 17:00
1184;ANTONIO ASTACIO SEVILLANO;ANTONIO ASTACIO SEVILLANO;Calle PARAGUAY, 15, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;Lunes 09:30-14:30 / 17:30-20:30 | Martes 09:30-14:30 / 17:30-20:30 | Miércoles 09:30-14:30 / 17:30-20:30 | Jueves 09:30-14:30 / 17:30-20:30 | Viernes 09:30-14:30 / 17:30-20:30 | Sábado Cerrado | Domingo Cerrado;high;Automóviles Sevicars;google-maps;2026-09-21;;verified;4;12;Jueves;13:04;Abierto · cierra 14:30
1182;NIMO GORDILLO ALJARAFE SL;NIMO GORDILLO ALJARAFE SL;Avenida FERNANDEZ MURUBE, 30 CP, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 07:00-18:00 | Martes 07:00-18:00 | Miércoles 07:00-18:00 | Jueves 07:00-18:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;medium;Nimo Gordillo / Scoobic · centro Fernández Murube;google-maps;2026-09-21;"Horario del centro de Fernández Murube; confirmar departamento exacto.";associated;8;8;Miércoles;11:59;Abierto · cierra 18:00
1178;HIJOS DE J CERRATO SA;HIJOS DE J CERRATO SA;CTRA. A-4, KM 555, 41700, Dos Hermanas, Sevilla, España;Dos Hermanas;41700;Lunes 07:00-15:00 / 17:30-20:30 | Martes 07:00-15:00 / 17:30-20:30 | Miércoles 07:00-15:00 / 17:30-20:30 | Jueves 07:00-15:00 / 17:30-20:30 | Viernes 07:00-15:00 / 17:30-20:30 | Sábado Cerrado | Domingo Cerrado;high;Renault Dos Hermanas Cerrato;google-business;2026-09-21;;verified;2;1;Martes;07:37;Abierto · cierra 15:00
